========== V1 详细装箱坐标 ==========

第1辆车，装载164件，容积利用率 65.62%，重量利用率 33.02%
货物ID, x(cm), y(cm), z(cm), l(cm), w(cm), h(cm)
G2, 320.0, 160.0, 160.0, 50.0, 35.0, 25.0
G1, 180.0, 0.0, 180.0, 60.0, 40.0, 30.0
G2, 240.0, 120.0, 165.0, 50.0, 35.0, 25.0
G2, 180.0, 160.0, 165.0, 50.0, 35.0, 25.0
G2, 320.0, 0.0, 175.0, 50.0, 35.0, 25.0
G1, 240.0, 180.0, 0.0, 60.0, 30.0, 40.0
G2, 240.0, 60.0, 175.0, 50.0, 35.0, 25.0
G1, 240.0, 180.0, 40.0, 60.0, 30.0, 40.0
G1, 240.0, 180.0, 80.0, 60.0, 30.0, 40.0
G1, 240.0, 180.0, 120.0, 60.0, 30.0, 40.0
G1, 240.0, 180.0, 160.0, 60.0, 30.0, 40.0
G2, 0.0, 100.0, 175.0, 50.0, 35.0, 25.0
G1, 80.0, 180.0, 0.0, 40.0, 30.0, 60.0
G2, 0.0, 135.0, 185.0, 50.0, 35.0, 25.0
G2, 320.0, 160.0, 185.0, 50.0, 35.0, 25.0
G1, 80.0, 180.0, 60.0, 40.0, 30.0, 60.0
G2, 240.0, 120.0, 190.0, 50.0, 35.0, 25.0
G2, 180.0, 160.0, 190.0, 50.0, 35.0, 25.0
G1, 80.0, 35.0, 75.0, 40.0, 30.0, 60.0
G2, 0.0, 185.0, 0.0, 50.0, 25.0, 35.0
G2, 130.0, 185.0, 0.0, 50.0, 25.0, 35.0
G1, 80.0, 0.0, 100.0, 40.0, 30.0, 60.0
G1, 0.0, 0.0, 120.0, 40.0, 30.0, 60.0
G2, 0.0, 185.0, 35.0, 50.0, 25.0, 35.0
G1, 380.0, 60.0, 120.0, 40.0, 30.0, 60.0
G2, 130.0, 185.0, 35.0, 50.0, 25.0, 35.0
G1, 80.0, 180.0, 120.0, 40.0, 30.0, 60.0
G2, 0.0, 185.0, 70.0, 50.0, 25.0, 35.0
G2, 130.0, 185.0, 70.0, 50.0, 25.0, 35.0
G2, 130.0, 0.0, 100.0, 50.0, 25.0, 35.0
G2, 240.0, 95.0, 100.0, 50.0, 25.0, 35.0
G2, 0.0, 185.0, 105.0, 50.0, 25.0, 35.0
G2, 130.0, 185.0, 105.0, 50.0, 25.0, 35.0
G2, 130.0, 110.0, 125.0, 50.0, 25.0, 35.0
G1, 180.0, 40.0, 150.0, 40.0, 30.0, 60.0
G1, 390.0, 160.0, 0.0, 30.0, 40.0, 60.0
G2, 130.0, 0.0, 135.0, 50.0, 25.0, 35.0
G2, 240.0, 95.0, 135.0, 50.0, 25.0, 35.0
G2, 0.0, 185.0, 140.0, 50.0, 25.0, 35.0
G2, 130.0, 185.0, 140.0, 50.0, 25.0, 35.0
G1, 390.0, 160.0, 60.0, 30.0, 40.0, 60.0
G1, 390.0, 160.0, 120.0, 30.0, 40.0, 60.0
G2, 240.0, 95.0, 170.0, 50.0, 25.0, 35.0
G1, 370.0, 0.0, 150.0, 30.0, 40.0, 60.0
G2, 0.0, 185.0, 175.0, 50.0, 25.0, 35.0
G2, 130.0, 185.0, 175.0, 50.0, 25.0, 35.0
G2, 40.0, 0.0, 120.0, 35.0, 25.0, 50.0
G2, 80.0, 70.0, 125.0, 35.0, 25.0, 50.0
G2, 80.0, 0.0, 160.0, 35.0, 25.0, 50.0
G2, 290.0, 60.0, 100.0, 25.0, 50.0, 35.0
G2, 290.0, 60.0, 135.0, 25.0, 50.0, 35.0

第2辆车，装载175件，容积利用率 68.73%，重量利用率 35.27%
货物ID, x(cm), y(cm), z(cm), l(cm), w(cm), h(cm)
G5, 0.0, 0.0, 0.0, 40.0, 40.0, 60.0
G2, 40.0, 0.0, 0.0, 50.0, 35.0, 25.0
G2, 90.0, 0.0, 0.0, 50.0, 35.0, 25.0
G3, 140.0, 0.0, 0.0, 70.0, 50.0, 40.0
G4, 210.0, 0.0, 0.0, 80.0, 60.0, 50.0
G5, 290.0, 0.0, 0.0, 40.0, 40.0, 60.0
G1, 330.0, 0.0, 0.0, 60.0, 40.0, 30.0
G4, 40.0, 35.0, 0.0, 80.0, 60.0, 50.0
G4, 290.0, 40.0, 0.0, 80.0, 60.0, 50.0
G5, 0.0, 40.0, 0.0, 40.0, 40.0, 60.0
G5, 370.0, 40.0, 0.0, 40.0, 40.0, 60.0
G1, 140.0, 50.0, 0.0, 60.0, 40.0, 30.0
G5, 210.0, 60.0, 0.0, 40.0, 40.0, 60.0
G3, 140.0, 90.0, 0.0, 70.0, 50.0, 40.0
G2, 370.0, 80.0, 0.0, 50.0, 35.0, 25.0
G5, 250.0, 60.0, 0.0, 40.0, 40.0, 60.0
G2, 40.0, 95.0, 0.0, 50.0, 35.0, 25.0
G1, 210.0, 100.0, 0.0, 60.0, 40.0, 30.0
G2, 90.0, 95.0, 0.0, 50.0, 35.0, 25.0
G2, 270.0, 100.0, 0.0, 50.0, 35.0, 25.0
G2, 320.0, 100.0, 0.0, 50.0, 35.0, 25.0
G2, 370.0, 115.0, 0.0, 50.0, 35.0, 25.0
G3, 40.0, 130.0, 0.0, 70.0, 50.0, 40.0
G2, 270.0, 135.0, 0.0, 50.0, 35.0, 25.0
G2, 320.0, 135.0, 0.0, 50.0, 35.0, 25.0
G2, 140.0, 140.0, 0.0, 50.0, 35.0, 25.0
G1, 190.0, 140.0, 0.0, 60.0, 40.0, 30.0
G2, 370.0, 150.0, 0.0, 50.0, 35.0, 25.0
G5, 0.0, 80.0, 0.0, 40.0, 40.0, 60.0
G5, 0.0, 120.0, 0.0, 40.0, 40.0, 60.0
G1, 270.0, 170.0, 0.0, 60.0, 40.0, 30.0
G2, 140.0, 175.0, 0.0, 50.0, 35.0, 25.0
G4, 210.0, 0.0, 50.0, 80.0, 60.0, 50.0
G3, 0.0, 160.0, 0.0, 40.0, 50.0, 70.0
G5, 330.0, 170.0, 0.0, 40.0, 40.0, 60.0
G2, 40.0, 0.0, 25.0, 50.0, 35.0, 25.0
G1, 330.0, 0.0, 30.0, 60.0, 40.0, 30.0
G1, 140.0, 50.0, 30.0, 60.0, 40.0, 30.0
G1, 210.0, 100.0, 30.0, 60.0, 40.0, 30.0
G2, 90.0, 0.0, 25.0, 50.0, 35.0, 25.0
G5, 190.0, 140.0, 30.0, 40.0, 40.0, 60.0
G2, 370.0, 80.0, 25.0, 50.0, 35.0, 25.0
G2, 40.0, 95.0, 25.0, 50.0, 35.0, 25.0
G2, 90.0, 95.0, 25.0, 50.0, 35.0, 25.0
G2, 270.0, 100.0, 25.0, 50.0, 35.0, 25.0
G1, 270.0, 170.0, 30.0, 60.0, 40.0, 30.0
G2, 320.0, 100.0, 25.0, 50.0, 35.0, 25.0
G4, 40.0, 35.0, 50.0, 80.0, 60.0, 50.0
G4, 290.0, 40.0, 50.0, 80.0, 60.0, 50.0
G1, 140.0, 0.0, 40.0, 60.0, 40.0, 30.0
G5, 140.0, 90.0, 40.0, 40.0, 40.0, 60.0
G2, 370.0, 115.0, 25.0, 50.0, 35.0, 25.0
G5, 40.0, 130.0, 40.0, 40.0, 40.0, 60.0
G1, 330.0, 0.0, 60.0, 60.0, 40.0, 30.0
G1, 140.0, 50.0, 60.0, 60.0, 40.0, 30.0
G4, 210.0, 0.0, 100.0, 80.0, 60.0, 50.0
G1, 210.0, 100.0, 60.0, 60.0, 40.0, 30.0
G4, 40.0, 35.0, 100.0, 80.0, 60.0, 50.0
G1, 270.0, 170.0, 60.0, 60.0, 40.0, 30.0
G1, 140.0, 0.0, 70.0, 60.0, 40.0, 30.0
G2, 270.0, 135.0, 25.0, 50.0, 35.0, 25.0
G5, 0.0, 0.0, 60.0, 40.0, 40.0, 60.0
G2, 320.0, 135.0, 25.0, 50.0, 35.0, 25.0
G2, 140.0, 140.0, 25.0, 50.0, 35.0, 25.0
G4, 290.0, 40.0, 100.0, 80.0, 60.0, 50.0
G4, 210.0, 0.0, 150.0, 80.0, 60.0, 50.0
G2, 370.0, 150.0, 25.0, 50.0, 35.0, 25.0
G1, 330.0, 0.0, 90.0, 60.0, 40.0, 30.0
G2, 140.0, 175.0, 25.0, 50.0, 35.0, 25.0
G5, 290.0, 0.0, 60.0, 40.0, 40.0, 60.0
G5, 0.0, 40.0, 60.0, 40.0, 40.0, 60.0
G2, 40.0, 0.0, 50.0, 50.0, 35.0, 25.0
G4, 40.0, 35.0, 150.0, 80.0, 60.0, 50.0
G1, 140.0, 50.0, 90.0, 60.0, 40.0, 30.0
G5, 370.0, 40.0, 60.0, 40.0, 40.0, 60.0
G1, 210.0, 100.0, 90.0, 60.0, 40.0, 30.0
G1, 270.0, 170.0, 90.0, 60.0, 40.0, 30.0
G2, 90.0, 0.0, 50.0, 50.0, 35.0, 25.0
G2, 370.0, 80.0, 50.0, 50.0, 35.0, 25.0
G2, 40.0, 95.0, 50.0, 50.0, 35.0, 25.0
G5, 210.0, 60.0, 60.0, 40.0, 40.0, 60.0
G2, 90.0, 95.0, 50.0, 50.0, 35.0, 25.0
G4, 290.0, 40.0, 150.0, 80.0, 60.0, 50.0
G5, 250.0, 60.0, 60.0, 40.0, 40.0, 60.0
G2, 270.0, 100.0, 50.0, 50.0, 35.0, 25.0
G2, 320.0, 100.0, 50.0, 50.0, 35.0, 25.0
G2, 370.0, 115.0, 50.0, 50.0, 35.0, 25.0
G1, 140.0, 0.0, 100.0, 60.0, 40.0, 30.0
G2, 270.0, 135.0, 50.0, 50.0, 35.0, 25.0
G1, 330.0, 0.0, 120.0, 60.0, 40.0, 30.0
G1, 140.0, 50.0, 120.0, 60.0, 40.0, 30.0
G1, 210.0, 100.0, 120.0, 60.0, 40.0, 30.0
G2, 320.0, 135.0, 50.0, 50.0, 35.0, 25.0
G1, 270.0, 170.0, 120.0, 60.0, 40.0, 30.0
G1, 140.0, 0.0, 130.0, 60.0, 40.0, 30.0
G1, 140.0, 50.0, 150.0, 60.0, 40.0, 30.0
G2, 140.0, 140.0, 50.0, 50.0, 35.0, 25.0
G2, 370.0, 150.0, 50.0, 50.0, 35.0, 25.0
G2, 140.0, 175.0, 50.0, 50.0, 35.0, 25.0
G5, 0.0, 80.0, 60.0, 40.0, 40.0, 60.0
G5, 0.0, 120.0, 60.0, 40.0, 40.0, 60.0
G1, 210.0, 100.0, 150.0, 60.0, 40.0, 30.0
G5, 330.0, 170.0, 60.0, 40.0, 40.0, 60.0
G5, 0.0, 160.0, 70.0, 40.0, 40.0, 60.0
G1, 270.0, 170.0, 150.0, 60.0, 40.0, 30.0
G5, 190.0, 140.0, 90.0, 40.0, 40.0, 60.0
G5, 140.0, 90.0, 100.0, 40.0, 40.0, 60.0
G1, 140.0, 0.0, 160.0, 60.0, 40.0, 30.0
G5, 40.0, 130.0, 100.0, 40.0, 40.0, 60.0
G1, 140.0, 50.0, 180.0, 60.0, 40.0, 30.0
G1, 270.0, 170.0, 180.0, 60.0, 40.0, 30.0
G2, 40.0, 0.0, 75.0, 50.0, 35.0, 25.0
G1, 40.0, 180.0, 0.0, 60.0, 30.0, 40.0
G2, 90.0, 0.0, 75.0, 50.0, 35.0, 25.0
G5, 190.0, 140.0, 150.0, 40.0, 40.0, 60.0
G1, 190.0, 180.0, 0.0, 60.0, 30.0, 40.0
G1, 40.0, 180.0, 40.0, 60.0, 30.0, 40.0
G1, 190.0, 180.0, 40.0, 60.0, 30.0, 40.0
G2, 370.0, 80.0, 75.0, 50.0, 35.0, 25.0
G2, 40.0, 95.0, 75.0, 50.0, 35.0, 25.0
G1, 40.0, 180.0, 80.0, 60.0, 30.0, 40.0
G2, 270.0, 100.0, 75.0, 50.0, 35.0, 25.0
G2, 320.0, 100.0, 75.0, 50.0, 35.0, 25.0
G1, 190.0, 180.0, 80.0, 60.0, 30.0, 40.0
G2, 370.0, 115.0, 75.0, 50.0, 35.0, 25.0
G2, 270.0, 135.0, 75.0, 50.0, 35.0, 25.0
G1, 40.0, 180.0, 120.0, 60.0, 30.0, 40.0
G2, 320.0, 135.0, 75.0, 50.0, 35.0, 25.0
G2, 140.0, 140.0, 75.0, 50.0, 35.0, 25.0
G2, 370.0, 150.0, 75.0, 50.0, 35.0, 25.0
G1, 330.0, 0.0, 150.0, 60.0, 30.0, 40.0
G1, 40.0, 180.0, 160.0, 60.0, 30.0, 40.0
G1, 100.0, 180.0, 0.0, 40.0, 30.0, 60.0
G2, 140.0, 175.0, 75.0, 50.0, 35.0, 25.0
G2, 40.0, 0.0, 100.0, 50.0, 35.0, 25.0
G1, 100.0, 180.0, 60.0, 40.0, 30.0, 60.0
G2, 90.0, 0.0, 100.0, 50.0, 35.0, 25.0
G2, 370.0, 80.0, 100.0, 50.0, 35.0, 25.0
G2, 40.0, 95.0, 100.0, 50.0, 35.0, 25.0
G1, 90.0, 95.0, 75.0, 40.0, 30.0, 60.0
G1, 370.0, 115.0, 100.0, 40.0, 30.0, 60.0
G2, 370.0, 150.0, 100.0, 50.0, 35.0, 25.0
G1, 140.0, 140.0, 100.0, 40.0, 30.0, 60.0
G2, 40.0, 95.0, 125.0, 50.0, 35.0, 25.0
G2, 370.0, 150.0, 125.0, 50.0, 35.0, 25.0
G2, 370.0, 150.0, 150.0, 50.0, 35.0, 25.0
G1, 140.0, 175.0, 100.0, 40.0, 30.0, 60.0
G2, 140.0, 0.0, 190.0, 50.0, 35.0, 25.0
G2, 370.0, 185.0, 0.0, 50.0, 25.0, 35.0
G2, 370.0, 185.0, 35.0, 50.0, 25.0, 35.0
G2, 370.0, 185.0, 70.0, 50.0, 25.0, 35.0
G2, 40.0, 0.0, 125.0, 50.0, 25.0, 35.0
G1, 290.0, 0.0, 120.0, 40.0, 30.0, 60.0
G1, 100.0, 180.0, 120.0, 40.0, 30.0, 60.0
G1, 390.0, 0.0, 0.0, 30.0, 40.0, 60.0
G2, 90.0, 0.0, 125.0, 50.0, 25.0, 35.0
G2, 40.0, 95.0, 150.0, 50.0, 25.0, 35.0
G1, 110.0, 130.0, 0.0, 30.0, 40.0, 60.0
G2, 40.0, 0.0, 160.0, 50.0, 25.0, 35.0
G1, 180.0, 90.0, 40.0, 30.0, 40.0, 60.0
G1, 80.0, 130.0, 40.0, 30.0, 40.0, 60.0
G2, 320.0, 100.0, 100.0, 35.0, 25.0, 50.0
G1, 390.0, 0.0, 60.0, 30.0, 40.0, 60.0
G2, 270.0, 135.0, 100.0, 35.0, 25.0, 50.0
G2, 0.0, 0.0, 120.0, 35.0, 25.0, 50.0
G2, 0.0, 40.0, 120.0, 35.0, 25.0, 50.0
G2, 210.0, 60.0, 120.0, 35.0, 25.0, 50.0
G2, 0.0, 80.0, 120.0, 35.0, 25.0, 50.0
G1, 110.0, 130.0, 60.0, 30.0, 40.0, 60.0
G1, 80.0, 130.0, 100.0, 30.0, 40.0, 60.0
G2, 0.0, 120.0, 120.0, 35.0, 25.0, 50.0
G2, 0.0, 160.0, 130.0, 35.0, 25.0, 50.0
G1, 390.0, 0.0, 120.0, 30.0, 40.0, 60.0
G2, 140.0, 140.0, 160.0, 35.0, 25.0, 50.0
G2, 110.0, 130.0, 120.0, 25.0, 35.0, 50.0

第3辆车，装载175件，容积利用率 69.45%，重量利用率 34.82%
货物ID, x(cm), y(cm), z(cm), l(cm), w(cm), h(cm)
G2, 0.0, 0.0, 0.0, 50.0, 35.0, 25.0
G5, 50.0, 0.0, 0.0, 40.0, 40.0, 60.0
G2, 90.0, 0.0, 0.0, 50.0, 35.0, 25.0
G2, 140.0, 0.0, 0.0, 50.0, 35.0, 25.0
G5, 190.0, 0.0, 0.0, 40.0, 40.0, 60.0
G2, 230.0, 0.0, 0.0, 50.0, 35.0, 25.0
G2, 280.0, 0.0, 0.0, 50.0, 35.0, 25.0
G2, 330.0, 0.0, 0.0, 50.0, 35.0, 25.0
G4, 90.0, 35.0, 0.0, 80.0, 60.0, 50.0
G4, 230.0, 35.0, 0.0, 80.0, 60.0, 50.0
G4, 310.0, 35.0, 0.0, 80.0, 60.0, 50.0
G2, 0.0, 35.0, 0.0, 50.0, 35.0, 25.0
G3, 0.0, 70.0, 0.0, 70.0, 50.0, 40.0
G1, 90.0, 95.0, 0.0, 60.0, 40.0, 30.0
G1, 150.0, 95.0, 0.0, 60.0, 40.0, 30.0
G2, 210.0, 95.0, 0.0, 50.0, 35.0, 25.0
G1, 260.0, 95.0, 0.0, 60.0, 40.0, 30.0
G2, 320.0, 95.0, 0.0, 50.0, 35.0, 25.0
G2, 370.0, 95.0, 0.0, 50.0, 35.0, 25.0
G4, 0.0, 120.0, 0.0, 80.0, 60.0, 50.0
G1, 320.0, 130.0, 0.0, 60.0, 40.0, 30.0
G2, 210.0, 130.0, 0.0, 50.0, 35.0, 25.0
G1, 90.0, 135.0, 0.0, 60.0, 40.0, 30.0
G1, 150.0, 135.0, 0.0, 60.0, 40.0, 30.0
G1, 260.0, 135.0, 0.0, 60.0, 40.0, 30.0
G2, 210.0, 165.0, 0.0, 50.0, 35.0, 25.0
G2, 320.0, 170.0, 0.0, 50.0, 35.0, 25.0
G2, 370.0, 170.0, 0.0, 50.0, 35.0, 25.0
G4, 90.0, 35.0, 50.0, 80.0, 60.0, 50.0
G4, 230.0, 35.0, 50.0, 80.0, 60.0, 50.0
G1, 90.0, 95.0, 30.0, 60.0, 40.0, 30.0
G2, 90.0, 175.0, 0.0, 50.0, 35.0, 25.0
G5, 190.0, 40.0, 0.0, 40.0, 40.0, 60.0
G2, 140.0, 175.0, 0.0, 50.0, 35.0, 25.0
G2, 260.0, 175.0, 0.0, 50.0, 35.0, 25.0
G2, 0.0, 0.0, 25.0, 50.0, 35.0, 25.0
G1, 150.0, 95.0, 30.0, 60.0, 40.0, 30.0
G2, 90.0, 0.0, 25.0, 50.0, 35.0, 25.0
G2, 140.0, 0.0, 25.0, 50.0, 35.0, 25.0
G1, 260.0, 95.0, 30.0, 60.0, 40.0, 30.0
G4, 310.0, 35.0, 50.0, 80.0, 60.0, 50.0
G5, 380.0, 130.0, 0.0, 40.0, 40.0, 60.0
G1, 320.0, 130.0, 30.0, 60.0, 40.0, 30.0
G4, 0.0, 120.0, 50.0, 80.0, 60.0, 50.0
G4, 90.0, 35.0, 100.0, 80.0, 60.0, 50.0
G1, 90.0, 135.0, 30.0, 60.0, 40.0, 30.0
G2, 230.0, 0.0, 25.0, 50.0, 35.0, 25.0
G4, 230.0, 35.0, 100.0, 80.0, 60.0, 50.0
G2, 280.0, 0.0, 25.0, 50.0, 35.0, 25.0
G1, 150.0, 135.0, 30.0, 60.0, 40.0, 30.0
G4, 310.0, 35.0, 100.0, 80.0, 60.0, 50.0
G4, 0.0, 120.0, 100.0, 80.0, 60.0, 50.0
G2, 330.0, 0.0, 25.0, 50.0, 35.0, 25.0
G2, 0.0, 35.0, 25.0, 50.0, 35.0, 25.0
G2, 210.0, 95.0, 25.0, 50.0, 35.0, 25.0
G5, 260.0, 135.0, 30.0, 40.0, 40.0, 60.0
G1, 0.0, 70.0, 40.0, 60.0, 40.0, 30.0
G4, 90.0, 35.0, 150.0, 80.0, 60.0, 50.0
G2, 320.0, 95.0, 25.0, 50.0, 35.0, 25.0
G2, 370.0, 95.0, 25.0, 50.0, 35.0, 25.0
G2, 210.0, 130.0, 25.0, 50.0, 35.0, 25.0
G2, 210.0, 165.0, 25.0, 50.0, 35.0, 25.0
G2, 320.0, 170.0, 25.0, 50.0, 35.0, 25.0
G2, 370.0, 170.0, 25.0, 50.0, 35.0, 25.0
G4, 230.0, 35.0, 150.0, 80.0, 60.0, 50.0
G5, 50.0, 0.0, 60.0, 40.0, 40.0, 60.0
G1, 90.0, 95.0, 60.0, 60.0, 40.0, 30.0
G5, 190.0, 0.0, 60.0, 40.0, 40.0, 60.0
G5, 190.0, 40.0, 60.0, 40.0, 40.0, 60.0
G1, 150.0, 95.0, 60.0, 60.0, 40.0, 30.0
G4, 310.0, 35.0, 150.0, 80.0, 60.0, 50.0
G1, 260.0, 95.0, 60.0, 60.0, 40.0, 30.0
G1, 320.0, 130.0, 60.0, 60.0, 40.0, 30.0
G2, 90.0, 175.0, 25.0, 50.0, 35.0, 25.0
G4, 0.0, 120.0, 150.0, 80.0, 60.0, 50.0
